Region,Region_eng,Population,Rus_perc,Urban_pop,Urban_pop_perc,Rural_pop,Rural_pop_perc,Area,Density_pop_sqkm,Federal_district,Latitude,Longitude
Воронежская область,Voronezh region,2323657,"1,58",1576374,"67,84",757394,"32,59",52216,"44,5",ЦФО,50.9800393,40.1506507
Алтайский край,Altai region,2317052,"1,58",1326398,"57,25",1023682,"44,18",167996,"13,79",СФО,52.6932243,82.6931424
Оренбургская область,Orenburg region,1956256,"1,33",1188958,"60,78",788762,"40,32",123702,"15,81",ПФО,52.0269262,54.7276647
Омская область,Omsk region,1926562,"1,31",1424332,"73,93",535749,"27,81",141140,"13,65",СФО,56.0935263,73.5099936
Республика Крым,Republic of Crimea,1912025,"1,3",974788,"50,98",938943,"49,11",26081,"73,31",ЮФО,45.1890034,34.7401104
Приморский край,Primorsky Krai,1895305,"1,29",1477094,"77,93",435943,23,164673,"11,51",ДВФО,45.0819456,134.726645
Ленинградская область,Leningrad region,1876392,"1,28",1157086,"61,67",656730,35,83908,"22,36",СЗФО,60.1853296,32.3925325
Ханты-Мансийский АО,Khanty-Mansiysk,1674086,"1,14",1528299,"91,29",126775,"7,57",534801,"3,13",УФО,60.9451642,76.6442272
Белгородская область,Belgorod region,1547532,"1,05",1044510,"67,5",505366,"32,66",27134,"57,03",ЦФО,50.7080119,37.5837615
Тюменская область,Tyumen region,1537684,"1,05",998513,"64,94",500266,"32,53",160122,"9,6",УФО,58.8206488,70.3658837
Удмуртская Республика,Udmurt republic,1501005,"1,02",995728,"66,34",517316,"34,46",42061,"35,69",ПФО,57.1961165,52.6959832
Чеченская Республика,Chechen Republic,1476752,"1,01",501179,"33,94",935802,"63,37",16165,"91,35",СКФО,43.3976147,45.6985005
Тульская область,Tula region,1466025,1,1115742,"76,11",376113,"25,66",25679,"57,09",ЦФО,53.9570701,37.3690909
Владимирская область,Vladimir region,1358538,"0,93",1077289,"79,3",301048,"22,16",29084,"46,71",ЦФО,56.0503336,40.6561633
Хабаровский край,Khabarovsk region,1315310,"0,9",1090976,"82,94",237326,"18,04",787633,"1,67",ДВФО,51.6312684,136.121524
Пензенская область,Penza region,1304825,"0,89",912181,"69,91",419474,"32,15",43352,"30,1",ПФО,53.1655415,44.7879181
